,Vamuna remelana,Rhagastis olivacea ,Psilogramma sp, Theretra nessus,Cechetra minor,Ampelophaga ,Pygospila tyres ,Krananda sp. , Eupanacra metallica,Rhagastis lunata,Achaea sp.,Sarcinodes restitutaria,Pachyodes moeleri ,Acanthoplusia sp. ,Thysanoptyx sp., Gaurena florens,Herochroma,Jodis catla, Siglophora ferreilutea,Dalima, Percnia felinaria,Supersypnoides kirby, Sarcinodes cornearia, Eudocima falonia, Simplicia brevicosta,Abraxas sp,Bastilla arcuata,Percnia belluaria , Sarcinodes aequilineata,Achaea janata, Daphnis nerii,Cyana sp.,Ragoba octamaculalis,Thalassodes sp.,Palpita,Acosmeryx naga,Hypocala sp. 2
Olea,6,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alnus,0,8,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zea mays,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0
Betula,0,0,0,7,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhododendron,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,170,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0
pisum,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Brassica,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butea,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,98,0,0,0,0,0,0,0,0,0,0
Accacia,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0
Malus,0,0,0,0,0,0,0,0,0,0,34,13,0,0,5,0,5,38,151,28,0,36,20,0,0,6,0,19,200,25,0,0,0,0,0,75,8
Salix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrographis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
