x,SUBFAMILY,POLLEN LOAD
Cechetra lineosa*,Macroglossinae,8
Theretra sp.,Macroglossinae,2
Rhagastis castor,Macroglossinae,2
Theretra oldenlandiae*,Macroglossinae,5
Acosmeryx Naga*,Macroglossinae,5
Acosmeryx naga*,Macroglossinae,5
Cechetra bryki,Macroglossinae,1
Cechetra bryki*,Macroglossinae,67
Theretra suffusa*,Macroglossinae,17
Acosmeryx naga*,Macroglossinae,15
Rhagastis albomarginata,Macroglossinae,4
Theretra nessus,Macroglossinae,2
Rhagastis castor,Macroglossinae,1
Theretra nessus,Macroglossinae,4
Theretra nessus,Macroglossinae,4
Rhagastis lunata*,Macroglossinae,22
Rhagastis olivaceae,Macroglossinae,4
Theretra clotho,Macroglossinae,2
Daphnis hypothous,Macroglossinae,1
Acosmeryx naga,Macroglossinae,4
Eupanacra metalica,Macroglossinae,3
Rhagastis olivaceae,Macroglossinae,2
Ampelophaga khasiana*,Macroglossinae,5
Acosmeryx naga*,Macroglossinae,6
Cechetra minor,Macroglossinae,3
Daphnis hypothous *,Macroglossinae,27
Cechetra minor*,Macroglossinae,50
Cechetra minor*,Macroglossinae,15
Macroglossum sp.,Macroglossinae,2
Theretra clotho*,Macroglossinae,43
Cechetra minor,Macroglossinae,3
Cechetra minor,Macroglossinae,3
Rhagastis lunata,Macroglossinae,2
Daphnis hypothous *,Macroglossinae,12
Daphnis hypothous,Macroglossinae,4
Theretra nessus,Macroglossinae,1
Theretra nessus*,Macroglossinae,5
Acosmeryx naga*,Macroglossinae,150
Acosmeryx naga*,Macroglossinae,150
Acosmeryx naga*,Macroglossinae,200
Acosmeryx naga*,Macroglossinae,200
Cechetra minor*,Macroglossinae,246
Cechetra minor,Macroglossinae,2
Ambulyx ochracea,Smerinthinae,2
Ambulyx substrigilis,Smerinthinae,3
Ambulyx liturata *,Smerinthinae,150
Ambulyx liturata*,Smerinthinae,10
Ambulyx substrigilis,Smerinthinae,1
Ambulyx substrigilis*,Smerinthinae,5
Ambulyx ochracea*,Smerinthinae,6
Ambulyx substrigilis,Smerinthinae,4
Clanis Deucalion*,Smerinthinae,34
Ambulyx moorei,Smerinthinae,4
Marumba sperchius*,Smerinthinae,10
Ambulyx substrigilis*,Smerinthinae,56
Marumba dyras,Smerinthinae,2
Ambulyx ochracea*,Smerinthinae,10
Ambulyx ochracea * ,Smerinthinae,13
Ambulyx ochracea*,Smerinthinae,6
Psilogramma renneri*,Sphinginae,162
Pergesa acteus*,Sphinginae,8
Psilogramma renneri*,Sphinginae,9
Psilogramma menephrons,Sphinginae,4
Psilogramma menephrons,Sphinginae,4
Psilogramma renneri*,Sphinginae,21
Dolbina sp. ,Sphinginae,4
Acherontia lachesis*,Sphinginae,15
